post_title;ID;post_content;post_excerpt;post_date;post_name;post_author;post_status;featured_image;post_format;comment_status;ping_status;post_category;post_tag;bidang_prioritas;nama_skema;jenis_skema;nomor_skema
Desain Engineer Cetakan Injeksi Plastik;;;;08/12/2020 5:41;desain-engineer-cetakan-injeksi-plastik;ioryone;publish;;;open;open;Permesinan;;Permesinan;Desain Engineer Cetakan Injeksi Plastik;Okupasi;SS.LSP-POLMAN/DE/06.01/2020
Engineer Perekayasa Mesin;;;;08/12/2020 5:42;engineer-perekayasa-mesin;ioryone;publish;;;open;open;Permesinan;;Permesinan;Engineer Perekayasa Mesin;Okupasi;SS.LSP-POLMAN/DE/07.01/2020
Perekayasa Perkakas Presisi;;;;08/12/2020 5:43;perekayasa-perkakas-presisi;ioryone;publish;;;open;open;Permesinan;;Permesinan;Perekayasa Perkakas Presisi;Okupasi;SS.LSP-POLMAN/DE/08.01/2020
Perekayasa Produk Manufaktur;;;;08/12/2020 5:44;perekayasa-produk-manufaktur;ioryone;publish;;;open;open;Permesinan;;Permesinan;Perekayasa Produk Manufaktur;Okupasi;SS.LSP-POLMAN/DE/09.01/2020
Supervisor Pengecoran Logam;;;;08/12/2020 5:45;supervisor-pengecoran-logam;ioryone;publish;;;open;open;Permesinan;;Permesinan;Supervisor Pengecoran Logam;Okupasi;SS.LSP-POLMAN/FE/10.01/2020
Supervisor Pola Pengecoran Logam;;;;08/12/2020 5:46;supervisor-pola-pengecoran-logam;ioryone;publish;;;open;open;Permesinan;;Permesinan;Supervisor Pola Pengecoran Logam;Okupasi;SS.LSP-POLMAN/FE/11.01/2020
Engineer Casting Design;;;;08/12/2020 5:47;engineer-casting-design;ioryone;publish;;;open;open;Permesinan;;Permesinan;Engineer Casting Design;Okupasi;SS.LSP-POLMAN/FE/12.01/2020
Teknisi Senior Mekatronika;;;;08/12/2020 5:48;teknisi-senior-mekatronika;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Senior Mekatronika;Okupasi;SS.LSP-POLMAN/AE/13.01/2020
Junior Engineer Mekatronika;;;;08/12/2020 5:49;junior-engineer-mekatronika;ioryone;publish;;;open;open;Permesinan;;Permesinan;Junior Engineer Mekatronika;Okupasi;SS.LSP-POLMAN/AE/14.01/2020
Engineer Mekatronika;;;;08/12/2020 5:50;engineer-mekatronika;ioryone;publish;;;open;open;Permesinan;;Permesinan;Engineer Mekatronika;Okupasi;SS.LSP-POLMAN/AE/16.01/2020
Teknisi Senior Pemeliharaan Sistem Robotik ;;;;08/12/2020 5:51;teknisi-senior-pemeliharaan-sistem-robotik;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Senior Pemeliharaan Sistem Robotik ;Okupasi;SS.LSP-POLMAN/AE/15.01/2020
Die Making Junior Engineer;;;;08/12/2020 5:52;die-making-junior-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Die Making Junior Engineer;Okupasi;SS.LSP-POLMAN/ME/20.01/2020
Mould Making Junior Engineer;;;;08/12/2020 5:53;mould-making-junior-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Mould Making Junior Engineer;Okupasi;SS.LSP-POLMAN/ME/21.01/2020
Mechanical Maintenance Junior Engineer ;;;;08/12/2020 5:54;mechanical-maintenance-junior-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Mechanical Maintenance Junior Engineer ;Okupasi;SS.LSP-POLMAN/ME/19.01/2020
Electrical Maintenance Junior Engineer;;;;08/12/2020 5:55;electrical-maintenance-junior-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Electrical Maintenance Junior Engineer;Okupasi;SS.LSP-POLMAN/ME/17.01/2020
Automation Maintenance Junior Engineer;;;;08/12/2020 5:56;automation-maintenance-junior-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Automation Maintenance Junior Engineer;Okupasi;SS.LSP-POLMAN/ME/18.01/2020
Junior Engineer Pemesinan Konvensional;;;;08/12/2020 5:57;junior-engineer-pemesinan-konvensional;ioryone;publish;;;open;open;Permesinan;;Permesinan;Junior Engineer Pemesinan Konvensional;Okupasi;SS.LSP-POLMAN/ME/22.01/2020
Junior Engineer Pemesinan Nc;;;;08/12/2020 5:58;junior-engineer-pemesinan-nc;ioryone;publish;;;open;open;Permesinan;;Permesinan;Junior Engineer Pemesinan Nc;Okupasi;SS.LSP-POLMAN/ME/23.01/2020
Junior Engineer Fabrikasi;;;;08/12/2020 5:59;junior-engineer-fabrikasi;ioryone;publish;;;open;open;Permesinan;;Permesinan;Junior Engineer Fabrikasi;Okupasi;SS.LSP-POLMAN/ME/24.01/2020
Welding Inspector Comprehensive;;;;08/12/2020 6:00;welding-inspector-comprehensive;ioryone;publish;;;open;open;Permesinan;;Permesinan;Welding Inspector Comprehensive;Okupasi Level 5;SS-005-TM.LSP.Poliban.01
Welding Supervisor;;;;08/12/2020 6:01;welding-supervisor;ioryone;publish;;;open;open;Permesinan;;Permesinan;Welding Supervisor;Okupasi Level 5;SS-006-TM.LSP.Poliban.01
Welding Superintendent;;;;08/12/2020 6:02;welding-superintendent;ioryone;publish;;;open;open;Permesinan;;Permesinan;Welding Superintendent;Okupasi Level 5;SS-007-TM.LSP.Poliban.01
Welding Engineer;;;;08/12/2020 6:03;welding-engineer;ioryone;publish;;;open;open;Permesinan;;Permesinan;Welding Engineer;Okupasi Level 6;SS-008-TM.LSP.Poliban.01
Asisten Manajer Jaringan;;;;08/12/2020 6:04;asisten-manajer-jaringan;ioryone;publish;;;open;open;Permesinan;;Permesinan;Asisten Manajer Jaringan;Okupasi Level 5;SS-002-TL.LSP.Poliban.01
Asisten Manajer Pemeriksaan Dan Pengujian Pemanfaatan Tegangan Rendah;;;;08/12/2020 6:05;asisten-manajer-pemeriksaan-dan-pengujian-pemanfaatan-tegangan-rendah;ioryone;publish;;;open;open;Permesinan;;Permesinan;Asisten Manajer Pemeriksaan Dan Pengujian Pemanfaatan Tegangan Rendah;Okupasi Level 5;SS-003-TL.LSP.Poliban.01
Manajer Pemeriksaan Dan Pengujian Pemanfaatan Tegangan Rendah;;;;08/12/2020 6:06;manajer-pemeriksaan-dan-pengujian-pemanfaatan-tegangan-rendah;ioryone;publish;;;open;open;Permesinan;;Permesinan;Manajer Pemeriksaan Dan Pengujian Pemanfaatan Tegangan Rendah;Okupasi Level 6;SS-004-TL.LSP.Poliban.01
Manajer Area Pengatur Distribusi, Deputi Manajer Perencanaan Pola Operasi Dan Pemeliharaan Sistem Distribusi;;;;08/12/2020 6:07;manajer-area-pengatur-distribusi-deputi-manajer-perencanaan-pola-operasi-dan-pemeliharaan-sistem-distribusi;ioryone;publish;;;open;open;Permesinan;;Permesinan;Manajer Area Pengatur Distribusi, Deputi Manajer Perencanaan Pola Operasi Dan Pemeliharaan Sistem Distribusi;Okupasi Level 6;SS-005-TL.LSP.Poliban.01
Ahli Keselamatan Dan Kesehatan Kerja Umum (Ahli K3 Umum);;;;08/12/2020 6:08;ahli-keselamatan-dan-kesehatan-kerja-umum-ahli-k3-umum;ioryone;publish;;;open;open;Permesinan;;Permesinan;Ahli Keselamatan Dan Kesehatan Kerja Umum (Ahli K3 Umum);Okupasi Level 7;SS-004-TMB.LSP.Poliban.01
Teknisi Keselamatan Dan Kesehatan Kerja Umum (Teknisi K3 Umum);;;;08/12/2020 6:09;teknisi-keselamatan-dan-kesehatan-kerja-umum-teknisi-k3-umum;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Keselamatan Dan Kesehatan Kerja Umum (Teknisi K3 Umum);Okupasi Level 6;SS-005-TMB.LSP.Poliban.01
Teknisi Senior Refrigerasi Komersial Dan Industri;;;;08/12/2020 6:10;teknisi-senior-refrigerasi-komersial-dan-industri;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Senior Refrigerasi Komersial Dan Industri;Okupasi Level 5;SS-003-REF.LSP.Poliban.01
Teknisi Senior Tata Udara Komersial Dan Sistem Vrf   ;;;;08/12/2020 6:11;teknisi-senior-tata-udara-komersial-dan-sistem-vrf;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Senior Tata Udara Komersial Dan Sistem Vrf   ;Okupasi Level 5;SS-002-REF.LSP.Poliban.01
Teknisi Senior Tata Udara Sentral Dan Chiller   ;;;;08/12/2020 6:12;teknisi-senior-tata-udara-sentral-dan-chiller;ioryone;publish;;;open;open;Permesinan;;Permesinan;Teknisi Senior Tata Udara Sentral Dan Chiller   ;Okupasi Level 5;SS-001-REF.LSP.Poliban.01
Service Advisor    ;;;;08/12/2020 6:13;service-advisor;ioryone;publish;;;open;open;Permesinan;;Permesinan;Service Advisor    ;Okupasi Level 5;SS-004-TMO.LSP.Poliban.01
Technician Leader   ;;;;08/12/2020 6:14;technician-leader;ioryone;publish;;;open;open;Permesinan;;Permesinan;Technician Leader   ;Okupasi Level 5;SS-005-TMO.LSP.Poliban.01
